Canonical Word: VANS
Detections:
  Frame Name: 1.73829e+09, Score: 0.992077
  Frame Name: 1.73829e+09, Score: 0.996373
-------------------------
Canonical Word: Timbertand
Detections:
  Frame Name: 1.73829e+09, Score: 0.993435
  Frame Name: 1.73829e+09, Score: 0.993247
  Frame Name: 1.73829e+09, Score: 0.991164
  Frame Name: 1.73829e+09, Score: 0.993479
  Frame Name: 1.73829e+09, Score: 0.989384
  Frame Name: 1.73829e+09, Score: 0.997738
  Frame Name: 1.73829e+09, Score: 0.995663
  Frame Name: 1.73829e+09, Score: 0.950477
  Frame Name: 1.73829e+09, Score: 0.954637
  Frame Name: 1.73829e+09, Score: 0.954344
  Frame Name: 1.73829e+09, Score: 0.99531
  Frame Name: 1.73829e+09, Score: 0.986844
  Frame Name: 1.73829e+09, Score: 0.983597
  Frame Name: 1.73829e+09, Score: 0.988665
  Frame Name: 1.73829e+09, Score: 0.965677
  Frame Name: 1.73829e+09, Score: 0.992176
  Frame Name: 1.73829e+09, Score: 0.989927
  Frame Name: 1.73829e+09, Score: 0.988227
  Frame Name: 1.73829e+09, Score: 0.992487
  Frame Name: 1.73829e+09, Score: 0.990751
  Frame Name: 1.73829e+09, Score: 0.988581
  Frame Name: 1.73829e+09, Score: 0.939167
  Frame Name: 1.73829e+09, Score: 0.967637
  Frame Name: 1.73829e+09, Score: 0.993139
-------------------------
Canonical Word: Timber
Detections:
  Frame Name: 1.73829e+09, Score: 0.993258
  Frame Name: 1.73829e+09, Score: 0.99174
  Frame Name: 1.73829e+09, Score: 0.992228
  Frame Name: 1.73829e+09, Score: 0.991991
  Frame Name: 1.73829e+09, Score: 0.993927
  Frame Name: 1.73829e+09, Score: 0.990848
-------------------------
Canonical Word: ebok
Detections:
  Frame Name: 1.73829e+09, Score: 0.915955
  Frame Name: 1.73829e+09, Score: 0.991169
  Frame Name: 1.73829e+09, Score: 0.987534
  Frame Name: 1.73829e+09, Score: 0.988237
  Frame Name: 1.73829e+09, Score: 0.991432
  Frame Name: 1.73829e+09, Score: 0.993398
  Frame Name: 1.73829e+09, Score: 0.993628
  Frame Name: 1.73829e+09, Score: 0.992046
  Frame Name: 1.73829e+09, Score: 0.990016
  Frame Name: 1.73829e+09, Score: 0.99232
  Frame Name: 1.73829e+09, Score: 0.987346
  Frame Name: 1.73829e+09, Score: 0.987937
  Frame Name: 1.73829e+09, Score: 0.989594
  Frame Name: 1.73829e+09, Score: 0.988568
  Frame Name: 1.73829e+09, Score: 0.989291
  Frame Name: 1.73829e+09, Score: 0.918896
  Frame Name: 1.73829e+09, Score: 0.918869
  Frame Name: 1.73829e+09, Score: 0.919027
  Frame Name: 1.73829e+09, Score: 0.91627
  Frame Name: 1.73829e+09, Score: 0.916818
  Frame Name: 1.73829e+09, Score: 0.932037
  Frame Name: 1.73829e+09, Score: 0.925567
  Frame Name: 1.73829e+09, Score: 0.903961
  Frame Name: 1.73829e+09, Score: 0.916801
  Frame Name: 1.73829e+09, Score: 0.915713
  Frame Name: 1.73829e+09, Score: 0.946714
  Frame Name: 1.73829e+09, Score: 0.901469
  Frame Name: 1.73829e+09, Score: 0.94202
  Frame Name: 1.73829e+09, Score: 0.940933
  Frame Name: 1.73829e+09, Score: 0.919759
  Frame Name: 1.73829e+09, Score: 0.928852
  Frame Name: 1.73829e+09, Score: 0.955604
  Frame Name: 1.73829e+09, Score: 0.995354
  Frame Name: 1.73829e+09, Score: 0.995167
  Frame Name: 1.73829e+09, Score: 0.995479
  Frame Name: 1.73829e+09, Score: 0.992682
  Frame Name: 1.73829e+09, Score: 0.918313
  Frame Name: 1.73829e+09, Score: 0.90527
  Frame Name: 1.73829e+09, Score: 0.946699
  Frame Name: 1.73829e+09, Score: 0.936622
  Frame Name: 1.73829e+09, Score: 0.914714
  Frame Name: 1.73829e+09, Score: 0.989334
  Frame Name: 1.73829e+09, Score: 0.994644
  Frame Name: 1.73829e+09, Score: 0.901146
  Frame Name: 1.73829e+09, Score: 0.900795
  Frame Name: 1.73829e+09, Score: 0.94811
  Frame Name: 1.73829e+09, Score: 0.952535
  Frame Name: 1.73829e+09, Score: 0.961721
  Frame Name: 1.73829e+09, Score: 0.933397
  Frame Name: 1.73829e+09, Score: 0.936103
  Frame Name: 1.73829e+09, Score: 0.921762
  Frame Name: 1.73829e+09, Score: 0.99588
-------------------------
Canonical Word: E
Detections:
  Frame Name: 1.73829e+09, Score: 0.952904
  Frame Name: 1.73829e+09, Score: 0.989563
  Frame Name: 1.73829e+09, Score: 0.993145
  Frame Name: 1.73829e+09, Score: 0.993145
  Frame Name: 1.73829e+09, Score: 0.992873
  Frame Name: 1.73829e+09, Score: 0.992873
  Frame Name: 1.73829e+09, Score: 0.991413
  Frame Name: 1.73829e+09, Score: 0.991413
  Frame Name: 1.73829e+09, Score: 0.984018
  Frame Name: 1.73829e+09, Score: 0.984018
  Frame Name: 1.73829e+09, Score: 0.988556
  Frame Name: 1.73829e+09, Score: 0.988556
  Frame Name: 1.73829e+09, Score: 0.986648
  Frame Name: 1.73829e+09, Score: 0.986648
  Frame Name: 1.73829e+09, Score: 0.98646
  Frame Name: 1.73829e+09, Score: 0.98646
  Frame Name: 1.73829e+09, Score: 0.98969
  Frame Name: 1.73829e+09, Score: 0.98969
  Frame Name: 1.73829e+09, Score: 0.988233
  Frame Name: 1.73829e+09, Score: 0.983406
  Frame Name: 1.73829e+09, Score: 0.931311
-------------------------
Canonical Word: ERSE>
Detections:
  Frame Name: 1.73829e+09, Score: 0.931726
  Frame Name: 1.73829e+09, Score: 0.93625
  Frame Name: 1.73829e+09, Score: 0.922098
  Frame Name: 1.73829e+09, Score: 0.935725
  Frame Name: 1.73829e+09, Score: 0.933308
  Frame Name: 1.73829e+09, Score: 0.934684
  Frame Name: 1.73829e+09, Score: 0.942816
  Frame Name: 1.73829e+09, Score: 0.91152
  Frame Name: 1.73829e+09, Score: 0.94202
  Frame Name: 1.73829e+09, Score: 0.940933
  Frame Name: 1.73829e+09, Score: 0.900195
  Frame Name: 1.73829e+09, Score: 0.919759
  Frame Name: 1.73829e+09, Score: 0.92317
  Frame Name: 1.73829e+09, Score: 0.995527
-------------------------
Canonical Word: CONVERSE
Detections:
  Frame Name: 1.73829e+09, Score: 0.986384
  Frame Name: 1.73829e+09, Score: 0.995354
  Frame Name: 1.73829e+09, Score: 0.995167
  Frame Name: 1.73829e+09, Score: 0.995479
  Frame Name: 1.73829e+09, Score: 0.992682
  Frame Name: 1.73829e+09, Score: 0.90527
  Frame Name: 1.73829e+09, Score: 0.9583
  Frame Name: 1.73829e+09, Score: 0.936622
  Frame Name: 1.73829e+09, Score: 0.989334
  Frame Name: 1.73829e+09, Score: 0.98754
  Frame Name: 1.73829e+09, Score: 0.994644
  Frame Name: 1.73829e+09, Score: 0.98688
  Frame Name: 1.73829e+09, Score: 0.921996
  Frame Name: 1.73829e+09, Score: 0.961721
  Frame Name: 1.73829e+09, Score: 0.933397
  Frame Name: 1.73829e+09, Score: 0.936103
  Frame Name: 1.73829e+09, Score: 0.99588
  Frame Name: 1.73829e+09, Score: 0.986563
  Frame Name: 1.73829e+09, Score: 0.900949
  Frame Name: 1.73829e+09, Score: 0.974177
  Frame Name: 1.73829e+09, Score: 0.972452
  Frame Name: 1.73829e+09, Score: 0.941483
  Frame Name: 1.73829e+09, Score: 0.989563
  Frame Name: 1.73829e+09, Score: 0.978787
  Frame Name: 1.73829e+09, Score: 0.978787
  Frame Name: 1.73829e+09, Score: 0.98306
  Frame Name: 1.73829e+09, Score: 0.963746
  Frame Name: 1.73829e+09, Score: 0.963746
  Frame Name: 1.73829e+09, Score: 0.953172
  Frame Name: 1.73829e+09, Score: 0.974473
  Frame Name: 1.73829e+09, Score: 0.979874
  Frame Name: 1.73829e+09, Score: 0.975432
  Frame Name: 1.73829e+09, Score: 0.943547
  Frame Name: 1.73829e+09, Score: 0.97787
  Frame Name: 1.73829e+09, Score: 0.933477
  Frame Name: 1.73829e+09, Score: 0.979834
  Frame Name: 1.73829e+09, Score: 0.956704
  Frame Name: 1.73829e+09, Score: 0.976523
  Frame Name: 1.73829e+09, Score: 0.922635
  Frame Name: 1.73829e+09, Score: 0.966255
  Frame Name: 1.73829e+09, Score: 0.953508
  Frame Name: 1.73829e+09, Score: 0.982022
  Frame Name: 1.73829e+09, Score: 0.900877
  Frame Name: 1.73829e+09, Score: 0.984773
  Frame Name: 1.73829e+09, Score: 0.941984
  Frame Name: 1.73829e+09, Score: 0.986163
  Frame Name: 1.73829e+09, Score: 0.978648
  Frame Name: 1.73829e+09, Score: 0.973703
  Frame Name: 1.73829e+09, Score: 0.937729
  Frame Name: 1.73829e+09, Score: 0.982421
  Frame Name: 1.73829e+09, Score: 0.987433
  Frame Name: 1.73829e+09, Score: 0.96644
  Frame Name: 1.73829e+09, Score: 0.962207
  Frame Name: 1.73829e+09, Score: 0.972548
  Frame Name: 1.73829e+09, Score: 0.985406
  Frame Name: 1.73829e+09, Score: 0.962333
  Frame Name: 1.73829e+09, Score: 0.965623
  Frame Name: 1.73829e+09, Score: 0.964913
  Frame Name: 1.73829e+09, Score: 0.942532
  Frame Name: 1.73829e+09, Score: 0.934157
  Frame Name: 1.73829e+09, Score: 0.954732
  Frame Name: 1.73829e+09, Score: 0.977438
  Frame Name: 1.73829e+09, Score: 0.945426
  Frame Name: 1.73829e+09, Score: 0.983743
  Frame Name: 1.73829e+09, Score: 0.987529
  Frame Name: 1.73829e+09, Score: 0.973871
  Frame Name: 1.73829e+09, Score: 0.97596
  Frame Name: 1.73829e+09, Score: 0.990201
  Frame Name: 1.73829e+09, Score: 0.984029
  Frame Name: 1.73829e+09, Score: 0.987447
  Frame Name: 1.73829e+09, Score: 0.971591
  Frame Name: 1.73829e+09, Score: 0.982482
  Frame Name: 1.73829e+09, Score: 0.936549
  Frame Name: 1.73829e+09, Score: 0.984831
  Frame Name: 1.73829e+09, Score: 0.945121
  Frame Name: 1.73829e+09, Score: 0.944423
  Frame Name: 1.73829e+09, Score: 0.959781
  Frame Name: 1.73829e+09, Score: 0.978754
  Frame Name: 1.73829e+09, Score: 0.987256
  Frame Name: 1.73829e+09, Score: 0.97969
  Frame Name: 1.73829e+09, Score: 0.964013
  Frame Name: 1.73829e+09, Score: 0.984758
  Frame Name: 1.73829e+09, Score: 0.984023
  Frame Name: 1.73829e+09, Score: 0.95404
  Frame Name: 1.73829e+09, Score: 0.978888
  Frame Name: 1.73829e+09, Score: 0.935644
  Frame Name: 1.73829e+09, Score: 0.957542
  Frame Name: 1.73829e+09, Score: 0.961683
  Frame Name: 1.73829e+09, Score: 0.963839
  Frame Name: 1.73829e+09, Score: 0.965572
